4;9
1;1
1;23
1;25
1;26
1;17
1;22
1;15
1;16
1;19
1;5
1;6
1;3
1;10
1;9
1;8
2;3
2;11
2;6
2;14
2;23
2;19
2;17
2;26
2;8
2;12
7;8
7;1
7;11
7;14
7;15
7;23
7;24
7;26
7;19
7;18
7;17
7;6
7;9
7;12
8;20
8;5
8;3
8;1
8;11
8;13
8;14
8;15
8;16
8;25
8;24
8;23
8;18
8;8
5;9
5;23
5;4
5;3
5;11
5;15
5;25
5;26
5;19
9;10
9;12
9;5
9;4
9;1
9;15
9;13
9;23
9;25
9;26
9;19
9;17
9;18
9;8
9;7
3;3
3;1
3;11
3;8
3;7
3;6
3;24
3;22
3;23
3;21
3;26
3;14
3;13
3;12
3;18
3;17
3;20
6;4
6;9
6;8
6;7
6;1
6;10
6;13
6;15
6;16
6;24
6;23
6;20
6;17
6;26
